date,home,score,away,home_score,away_score
05/03/2020 , Rajo FC ,0 : 5, Mogadishu City Club ,0.0,5.0
06/03/2020 , Jazeera SC ,0 : 1, Horseed S.C ,0.0,1.0
09/03/2020 , Dekedda SC ,1 : 3, Gaadiidka FC ,1.0,3.0
10/03/2020 , Heegan S.C ,0 : 1, Midnimo FC ,0.0,1.0
11/03/2020 , Rajo FC ,0 : 4, Raadsan FC ,0.0,4.0
12/03/2020 , Jazeera SC ,2 : 4, Elman FC ,2.0,4.0
13/03/2020 , Horseed S.C ,0 : 0, Mogadishu City Club ,0.0,0.0
16/03/2020 , Heegan S.C ,1 : 0, Dekedda SC ,1.0,0.0
17/03/2020 , Rajo FC ,0 : 7, Gaadiidka FC ,0.0,7.0
18/03/2020 , Jazeera SC ,1 : 2, Midnimo FC ,1.0,2.0
18/06/2020 , Horseed S.C ,4 : 0, Raadsan FC ,4.0,0.0
19/06/2020 , Mogadishu City Club ,2 : 0, Elman FC ,2.0,0.0
22/06/2020 , Dekedda SC ,4 : 1, Rajo FC ,4.0,1.0
23/06/2020 , Jazeera SC ,0 : 3, Heegan S.C ,0.0,3.0
24/06/2020 , Horseed S.C ,0 : 1, Gaadiidka FC ,0.0,1.0
25/06/2020 , Mogadishu City Club ,2 : 1, Midnimo FC ,2.0,1.0
26/06/2020 , Elman FC ,2 : 1, Raadsan FC ,2.0,1.0
18/01/2021 , Heegan S.C ,1 : 0, Midnimo FC ,1.0,0.0
19/01/2021 , Geeska Afrika FC ,0 : 0, Jeenyo  FC ,0.0,0.0
20/01/2021 , Raadsan FC ,1 : 0, Horseed S.C ,1.0,0.0
21/01/2021 , Elman FC ,0 : 1, Mogadishu City Club ,0.0,1.0
22/01/2021 , Dekedda SC ,1 : 1, Gaadiidka FC ,1.0,1.0
25/01/2021 , Jeenyo  FC ,1 : 2, Heegan S.C ,1.0,2.0
26/01/2021 , Midnimo FC ,0 : 2, Horseed S.C ,0.0,2.0
27/01/2021 , Geeska Afrika FC ,0 : 2, Mogadishu City Club ,0.0,2.0
28/01/2021 , Raadsan FC ,1 : 0, Gaadiidka FC ,1.0,0.0
29/01/2021 , Elman FC ,2 : 1, Dekedda SC ,2.0,1.0
01/02/2021 , Heegan S.C ,1 : 1, Horseed S.C ,1.0,1.0
02/02/2021 , Jeenyo  FC ,1 : 0, Mogadishu City Club ,1.0,0.0
03/02/2021 , Midnimo FC ,1 : 1, Gaadiidka FC ,1.0,1.0
04/02/2021 , Geeska Afrika FC ,0 : 3, Dekedda SC ,0.0,3.0
05/02/2021 , Raadsan FC ,1 : 0, Elman FC ,1.0,0.0
08/02/2021 , Mogadishu City Club ,3 : 2, Heegan S.C ,3.0,2.0
09/02/2021 , Horseed S.C ,1 : 3, Gaadiidka FC ,1.0,3.0
10/02/2021 , Jeenyo  FC ,0 : 4, Dekedda SC ,0.0,4.0
11/02/2021 , Midnimo FC ,1 : 0, Elman FC ,1.0,0.0
12/02/2021 , Geeska Afrika FC ,0 : 2, Raadsan FC ,0.0,2.0
15/02/2021 , Heegan S.C ,3 : 0, Gaadiidka FC ,3.0,0.0
16/02/2021 , Mogadishu City Club ,1 : 0, Dekedda SC ,1.0,0.0
17/02/2021 , Horseed S.C ,3 : 0, Elman FC ,3.0,0.0
18/02/2021 , Jeenyo  FC ,1 : 1, Raadsan FC ,1.0,1.0
